   ,pkgs                                         ,customers,percent
112,com.antivirus                                ,1.0      ,0.13
113,com.easyx.coolermaster                       ,1.0      ,0.13
114,com.cyberlink.youcammakeup                   ,1.0      ,0.13
115,com.n3t0l0b0.blogspot.mpc.view.lite          ,1.0      ,0.13
116,com.motorola.easyprefix                      ,1.0      ,0.13
117,deezer.android.app                           ,1.0      ,0.13
118,com.fortafygames.colorswitch                 ,1.0      ,0.13
119,com.everydaycalculation.androidapp_free      ,1.0      ,0.13
120,com.bestweatherfor.bibleoffline_pt_ra        ,1.0      ,0.13
121,com.firsttouchgames.dls3                     ,1.0      ,0.13
122,com.google.android.apps.magazines            ,1.0      ,0.13
123,com.samremote.view                           ,1.0      ,0.13
124,com.google.android.apps.translate            ,1.0      ,0.13
125,com.handycloset.android.eraser               ,1.0      ,0.13
126,com.picsart.studio                           ,1.0      ,0.13
127,com.pinchtools.telepad                       ,1.0      ,0.13
